Major,artswim,baseball,field-hockey,football,mens-basketball,mens-cross-country,mens-fencing,mens-golf,mens-gymnastics,mens-rowing,mens-soccer,mens-swimming-and-diving,mens-tennis,mens-track-and-field,mens-volleyball,mens-water-polo,sailing,softball,womens-basketball,womens-beach-volleyball,womens-cross-country,womens-fencing,womens-golf,womens-gymnastics,womens-lacrosse,womens-lightweight-rowing,womens-rowing,womens-soccer,womens-squash,womens-swimming-and-diving,womens-tennis,womens-track-and-field,womens-volleyball,womens-water-polo,wrestling
AA,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
AMSTUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
BIO,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,3.0,1.0,,
BIOE,,,,2.0,,,,,,,2.0,,,,,,,,,,1.0,,,,,,2.0,1.0,,,,1.0,,,1.0
BIOMEDIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
CEE,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,2.0,,,,,1.0,,,
CHEM,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
CHEMENG,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
COMM,,,,5.0,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,,1.0,,,
CS,1.0,1.0,,3.0,1.0,3.0,,,1.0,8.0,2.0,3.0,1.0,5.0,,3.0,1.0,1.0,,3.0,,3.0,,,,,1.0,,1.0,2.0,,,,,1.0
DATASCI,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN,,,1.0,,,1.0,,,,,,,,1.0,,,,2.0,3.0,3.0,,1.0,,2.0,2.0,,1.0,,,,,,,,
EARTHSYS,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,
ECON,,,1.0,5.0,1.0,,,,,,3.0,4.0,,,1.0,1.0,,1.0,,1.0,,,,,,2.0,,,,1.0,,,1.0,,
EE,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
ENGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
HUMBIO,,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,3.0,,,3.0,1.0,,4.0,3.0,1.0,4.0,2.0,6.0,4.0,6.0,2.0
INTNLREL,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,
MATH,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATSCI,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
MCS,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,1.0,,1.0,,,3.0,1.0,,,,4.0,,1.0,,,,1.0,,,,,,,2.0,1.0,,,,1.0,,1.0,
MS&E,,5.0,,6.0,1.0,1.0,,,,,2.0,2.0,,2.0,3.0,1.0,1.0,2.0,,1.0,,,,1.0,1.0,,3.0,1.0,,1.0,,,,,1.0
NBIO,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
PHIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
POLISCI,2.0,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,3.0,,,,,,,,,,
PSYCH,1.0,,,3.0,,1.0,,,,,1.0,,,,,,,2.0,,1.0,,,,,2.0,,1.0,1.0,,,,1.0,,,1.0
PUBLPOL,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,
SOC,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,,
STS,,5.0,,19.0,,,,,,,2.0,1.0,2.0,1.0,,,,2.0,1.0,,2.0,,3.0,,2.0,,4.0,4.0,,,2.0,3.0,3.0,2.0,2.0
SYMSYS,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,
URBANST,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
