#,Full Name,Pos.,Ht.,Wt.,Year,B/T,Hometown,High School,Previous School,Major,Major (Abbreviated)
1,Owen Cobb,INF/OF,6-3,195,Gr.,R/R,"Seattle, Wash.",Seattle Academy,,Management Science & Engineering / MS&E (MS),MS&E
2,Temo Becerra,INF,6-1,190,Jr.,R/R,"Clovis, Calif.",Buchanan,,"Science, Technology & Society",STS
4,Saborn Campbell,OF,5-11,202,Jr.,R/R,"Bloomfield Hills, Mich.",Detroit Country Day,,Management Science & Engineering,MS&E
5,Trevor Haskins,INF,6-0,183,Jr.,R/R,"San Jose, Calif.",Valley Christian,,Management Science & Engineering,MS&E
6,Jimmy Nati,INF,6-1,213,So.,R/R,"Sydney, Australia",Oakhill College,,Undeclared,Undeclared
10,Malcolm Moore,C,6-2,216,So.,L/R,"Sacramento, Calif.",C.K. McClatchy,,Undeclared,Undeclared
11,Luke Lavin,C/1B,6-3,200,Fr.,L/R,"Laguna Beach, Calif.",Santa Margarita Catholic,,Undeclared,Undeclared
12,Toran O'Harran,RHP,6-1,198,So.,R/R,"Rocklin, Calif.",Rocklin,,Undeclared,Undeclared
13,Ethan Hott,OF,5-10,185,So.,R/R,"Paradise Valley, Ariz.",Chaparral,,Undeclared,Undeclared
14,Sebastian David,INF,6-1,193,Fr.,R/R,"Medina, Wash.",Lakeside,,Undeclared,Undeclared
15,Champ Hampton,OF,5-10,208,Fr.,R/R,"Ooltewah, Tenn.",Baylor School,,Undeclared,Undeclared
16,Brandon Larson,1B,6-6,235,So.,L/R,"Rocklin, Calif.",Rocklin,UC San Diego,Undeclared,Undeclared
18,Kassius Thomas,RHP,6-2,190,So.,R/R,"Los Angeles, Calif.",Sierra Canyon,Duke,Undeclared,Undeclared
19,Joey Volchko,RHP,6-4,205,Fr.,R/R,"Visalia, Calif.",Redwood,,Undeclared,Undeclared
20,Nathan Fleischli,RHP,6-4,205,Gr.,R/R,"Atherton, Calif.",Sacred Heart Prep,,Computer Science / CS (MS),CS
21,Charlie Saum,C,6-0,200,Jr.,R/R,"Thousand Oaks, Calif.",Thousand Oaks,,"Science, Technology & Society",STS
22,Cort MacDonald,OF,6-1,197,So.,L/L,"Arlington, Texas",Pantego Christian Academy,,Undeclared,Undeclared
23,Jaden Bruno,RHP,6-4,222,Sr.,R/R,"Wellington, Fla.",American Heritage School,,Management Science & Engineering,MS&E
24,Aidan Keenan,RHP,6-1,192,Fr.,R/R,"Morgan Hill, Calif.",Live Oak,,Undeclared,Undeclared
25,Nick Dugan,RHP,6-2,202,So.,R/R,"Eureka, Calif.",St. Bernard’s Academy,,Undeclared,Undeclared
26,Sam Garewal,LHP,6-4,230,So.,L/L,"San Diego, Calif.",Canyon Crest Academy,Northwestern,Undeclared,Undeclared
27,Brady Reynolds,C/OF,6-1,218,Fr.,L/R,"Bakersfield, Calif.",Liberty,,Undeclared,Undeclared
28,Matt Scott,RHP,6-7,247,So.,R/R,"Redding, Conn.",Joel Barlow,,Undeclared,Undeclared
30,Ryan Speshyock,RHP,6-1,199,Fr.,R/R,"Goleta, Calif.",Dos Pueblos,,Undeclared,Undeclared
33,Gabe Springer,INF,6-0,205,So.,S/R,"Boulder, Colo.",Fairview,,Undeclared,Undeclared
34,Trevor Moore,RHP,6-1,210,So.,R/R,"Golden, Colo.",Mullen,,Undeclared,Undeclared
36,Ty Uber,RHP,6-4,240,Jr.,R/R,"Cameron Park, Calif.",Ponderosa,,"Science, Technology & Society",STS
37,Tommy O'Rourke,RHP,6-2,218,Sr.,R/R,"Morristown, N.J.",Seton Hall Prep,,"Science, Technology & Society",STS
38,Jack Svinth,RHP,6-1,197,Fr.,R/R,"Rancho Santa Margarita, Calif.",Santa Margarita Catholic,,Undeclared,Undeclared
39,Jake Sapien,1B,6-2,220,Jr.,R/R,"Atwater, Calif.",Buhach Colony,,"Science, Technology & Society",STS
40,Ben Reimers,RHP,6-3,193,Fr.,R/R,"Aliso Viejo, Calif.",JSerra Catholic,,Undeclared,Undeclared
42,Christian Lim,LHP,5-10,193,Fr.,L/L,"Nashville, Tenn.",Montgomery Bell Academy,,Undeclared,Undeclared
44,Brett Blair,OF/C,6-1,225,Jr.,R/R,"Gainesville, Fla.",Buchholz,,Management Science & Engineering,MS&E
50,Gavin Nalu,LHP,6-0,205,Jr.,L/L,"La Mesa, Calif.",Cathedral Catholic,,Public Policy,PUBLPOL
