First Name,Last Name,Class,Major,Major (Abbreviated),URL
Gaethan,Bernadel,Senior,Communication,COMM,/sports/football/roster/gaethan-bernadel/21094
Mudia,Reuben,Junior,Undeclared,Undeclared,/sports/football/roster/mudia-reuben/21143
Elijah,Brown,Freshman,Undeclared,Undeclared,/sports/football/roster/elijah-brown/21166
Dylan,Stephenson,Freshman,Undeclared,Undeclared,/sports/football/roster/dylan-stephenson/21170
Bryce,Farrell,Fifth Year,Economics,ECON,/sports/football/roster/bryce-farrell/21106
Zahran,Manley,Graduate Student,"Science, Tech. and Society",STS,/sports/football/roster/zahran-manley/21130
Collin,Wright,Junior,Undeclared,Undeclared,/sports/football/roster/collin-wright/21164
Justin,Lamson,Junior,Undeclared,Undeclared,/sports/football/roster/justin-lamson/21124
Tristan,Sinclair,Graduate Student,"Computer Science (MS, BS)",CS,/sports/football/roster/tristan-sinclair/21150
Aaron,Armitage,Senior,Undeclared,Undeclared,/sports/football/roster/aaron-armitage/21086
Myles,Jackson,Sophomore,Undeclared,Undeclared,/sports/football/roster/myles-jackson/21119
Emmett,Mosley V,Freshman,Undeclared,Undeclared,/sports/football/roster/emmett-mosley-v/21168
Tevarua,Tafiti,Junior,Undecided,Undeclared,/sports/football/roster/tevarua-tafiti/21153
Elic,Ayomanor,Redshirt Sophomore,Undeclared,Undeclared,/sports/football/roster/elic-ayomanor/21088
Emmet,Kenney,Senior,Undeclared,Undeclared,/sports/football/roster/emmet-kenney/21122
Wilfredo,Aybar,Senior,Undeclared,Undeclared,/sports/football/roster/wilfredo-aybar/21087
Ashton,Daniels,Junior,Undeclared,Undeclared,/sports/football/roster/ashton-daniels/21102
Ryan,Butler,Junior,Undeclared,Undeclared,/sports/football/roster/ryan-butler/21097
Connor,Weselman,Senior,Undeclared,Undeclared,/sports/football/roster/connor-weselman/21162
Jshawn,Frausto-Ramos,Sophomore,Undeclared,Undeclared,/sports/football/roster/jshawn-frausto-ramos/21109
Charlie,Mirer,Junior,Undeclared,Undeclared,/sports/football/roster/charlie-mirer/21135
Jimmy,Wyrick,Senior,Undeclared,Undeclared,/sports/football/roster/jimmy-wyrick/21165
Scotty,Edwards,Junior,Undeclared,Undeclared,/sports/football/roster/scotty-edwards/21104
Ché,Ojarikre,Sophomore,Undeclared,Undeclared,/sports/football/roster/ch-ojarikre/21137
David,Bailey,Junior,Undeclared,Undeclared,/sports/football/roster/david-bailey/21090
Tiger,Bachmeier,Sophomore,Undeclared,Undeclared,/sports/football/roster/tiger-bachmeier/21089
Ismael,Cisse,Sophomore,Undeclared,Undeclared,/sports/football/roster/ismael-cisse/21100
Sedrick,Irvin,Sophomore,Undeclared,Undeclared,/sports/football/roster/sedrick-irvin/21117
Omari,Porter,Graduate Student,Bioengineering,BIOE,/sports/football/roster/omari-porter/21140
Cam,Richardson,Freshman,Undeclared,Undeclared,/sports/football/roster/cam-richardson/21169
Ese,Dubre,Senior,Undeclared,Undeclared,/sports/football/roster/ese-dubre/21103
Aaron,Morris,Sophomore,Undeclared,Undeclared,/sports/football/roster/aaron-morris/21136
Mitch,Leigber,Senior,Undeclared,Undeclared,/sports/football/roster/mitch-leigber/21125
Kenaj,Washington,Junior,Undeclared,Undeclared,/sports/football/roster/kenaj-washington/21161
Caleb,Hampton,Sophomore,Undeclared,Undeclared,/sports/football/roster/caleb-hampton/21113
Matt,Rose,Junior,Undeclared,Undeclared,/sports/football/roster/matt-rose/21146
Tre,Williams,Sophomore,Undeclared,Undeclared,/sports/football/roster/tre-williams/21163
Aidan,Flintoft,Sophomore,Undeclared,Undeclared,/sports/football/roster/aidan-flintoft/21107
Myles,Libman,Sophomore,Undeclared,Undeclared,/sports/football/roster/myles-libman/21127
Brendon,Barrow,Senior,Undeclared,Undeclared,/sports/football/roster/brendon-barrow/21092
Kale,Lucas,Senior,Undeclared,Undeclared,/sports/football/roster/kale-lucas/21128
Brayden,Hagle,Sophomore,Undeclared,Undeclared,/sports/football/roster/brayden-hagle/21112
Tyler,Kuo,Sophomore,Undeclared,Undeclared,/sports/football/roster/tyler-kuo/21123
