First Name,Last Name,Class,Major,Major (Abbreviated),URL
Draper,Dayton,Junior,undeclared,Undeclared,/sports/fencing/roster/draper-dayton/20587
Jared,Hammerstrom,Freshman,undeclared,Undeclared,/sports/fencing/roster/jared-hammerstrom/20609
Alexander,Jeon,Freshman,undeclared,Undeclared,/sports/fencing/roster/alexander-jeon/20606
Connor,Jeong,Sophomore,undeclared,Undeclared,/sports/fencing/roster/connor-jeong/20590
Joshua,Kang,Senior,Human Biology,HUMBIO,/sports/fencing/roster/joshua-kang/20611
Sanjay,Kasi,Sophomore,undeclared,Undeclared,/sports/fencing/roster/sanjay-kasi/20591
Luke,Park,Sophomore,undeclared,Undeclared,/sports/fencing/roster/luke-park/20595
Kai,Rayle,Senior,undeclared,Undeclared,/sports/fencing/roster/kai-rayle/20600
Max,Scherer,Freshman,undeclared,Undeclared,/sports/fencing/roster/max-scherer/20610
Nash,Young,Freshman,undeclared,Undeclared,/sports/fencing/roster/nash-young/20608
Stanley,Zhou,Freshman,undeclared,Undeclared,/sports/fencing/roster/stanley-zhou/20607
