First Name,Last Name,Class,Major,Major (Abbreviated),URL
Gabriel ,Ajaegbu,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/gabriel-ajaegbu/20961
Liam,Anderson,Graduate Student,Public Policy,PUBLPOL,/sports/track-and-field/roster/liam-anderson/20363
Anthony,Argyropoulos,Senior,Computer Science,CS,/sports/track-and-field/roster/anthony-argyropoulos/20365
Joseph,Bailey,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/joseph-bailey/20962
Zane,Bergen,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/zane-bergen/20367
Caleb,Boutelle,Junior,Human Biology,HUMBIO,/sports/track-and-field/roster/caleb-boutelle/20368
Thomas,Boyden,Senior,Computer Science,CS,/sports/track-and-field/roster/thomas-boyden/20369
Garrett,Brown,Junior,undeclared,Undeclared,/sports/track-and-field/roster/garrett-brown/20370
Evan ,Burke,Fifth Year,Product Design,DESIGN,/sports/track-and-field/roster/evan-burke/20371
Olufemi,Cole,Junior,undeclared,Undeclared,/sports/track-and-field/roster/olufemi-cole/20372
Dylan,Davis,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/dylan-davis/20433
Robert,DiDonato,Junior,Computer Science,CS,/sports/track-and-field/roster/robert-didonato/20376
Will,Floyd,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/will-floyd/20434
Fabian,Gonzalez,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/fabian-gonzalez/20435
Garin,Gross,Junior,Mechanical Engineering,ME,/sports/track-and-field/roster/garin-gross/20381
Allan,Hunter,Senior,Mechanical Engineering,ME,/sports/track-and-field/roster/allan-hunter/20383
Evan,Jackson,Junior,"Science, Technology & Society",STS,/sports/track-and-field/roster/evan-jackson/20986
John,Kroeger,Junior,Mechanical Engineering,ME,/sports/track-and-field/roster/john-kroeger/20389
Sam,Liokumovich,Graduate Student,Computer Science,CS,/sports/track-and-field/roster/sam-liokumovich/20391
Mason,McKhann,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/mason-mckhann/20436
Ky ,Robinson,Senior,Management Science and Engineering,MS&E,/sports/track-and-field/roster/ky-robinson/20398
Zachary,Ryan,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/zachary-ryan/20440
Callum,Sherry,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/callum-sherry/20400
Gavin,Sherry,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/gavin-sherry/20401
Milo,Skapinsky,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/milo-skapinsky/20437
Cole,Sprout,Senior,Symbolic Systems,SYMSYS,/sports/track-and-field/roster/cole-sprout/20402
James,Stevens,Senior,Management Science and Engineering,MS&E,/sports/track-and-field/roster/james-stevens/20405
Galen,Topper,Junior,Computer Science,CS,/sports/track-and-field/roster/galen-topper/20409
Nolan,Topper,Junior,Mechanical Engineering,ME,/sports/track-and-field/roster/nolan-topper/20410
Kevin,Yang,Senior,Computer Science,CS,/sports/track-and-field/roster/kevin-yang/20417
Leo,Young,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/leo-young/20438
Lex,Young,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/lex-young/20439
