First Name,Last Name,Class,Major,URL
Jaden,Abas,Redshirt Senior,Psychology,/sports/wrestling/roster/jaden-abas/20567
Luciano,Arroyo,Fifth Year,Philosophy & Literature,/sports/wrestling/roster/luciano-arroyo/20568
Brook,Byers,Sophomore,Undeclared,/sports/wrestling/roster/brook-byers/20570
Daniel,Cardenas,Sophomore,Undeclared,/sports/wrestling/roster/daniel-cardenas/20571
Suhas,Chundi,Senior,Computer Science,/sports/wrestling/roster/suhas-chundi/20572
Charlie,Darracott,Senior,Human Biology,/sports/wrestling/roster/charlie-darracott/20573
Jack,Darrah,Redshirt Freshman,Undeclared,/sports/wrestling/roster/jack-darrah/20574
Jackson,DiSario,Fifth Year,Bioengineering,/sports/wrestling/roster/jackson-disario/20575
Luke,Duthie,Redshirt Freshman,Undeclared,/sports/wrestling/roster/luke-duthie/20576
Hunter,Garvin,Redshirt Freshman,Undeclared,/sports/wrestling/roster/hunter-garvin/20577
Zach,Hanson,Freshman,Undeclared,/sports/wrestling/roster/zach-hanson/20756
Tyler,Knox,Freshman,Undeclared,/sports/wrestling/roster/tyler-knox/20758
,,,,/sports/wrestling/roster/dom-lajoie/20766
Jackson,Mankowski,Freshman,Undeclared,/sports/wrestling/roster/jackson-mankowski/20759
Thor,Michaelson,Freshman,Undeclared,/sports/wrestling/roster/thor-michaelson/20760
Peter,Ming,Senior,Management Science & Engineering,/sports/wrestling/roster/peter-ming/20579
Jason,Miranda,Senior,Human Biology,/sports/wrestling/roster/jason-miranda/20580
Tye,Monteiro,Freshman,Undeclared,/sports/wrestling/roster/tye-monteiro/20762
Lorenzo,Norman,Freshman,Undeclared,/sports/wrestling/roster/lorenzo-norman/20763
Nico,Provo,Sophomore,Undeclared,/sports/wrestling/roster/nico-provo/20582
Wyatt,Richter,Redshirt Freshman,Undeclared,/sports/wrestling/roster/wyatt-richter/20583
Dawson,Sihavong,Fifth Year,"Science, Technology & Society",/sports/wrestling/roster/dawson-sihavong/20585
Nick,Stemmet,Senior,"Science, Technology & Society",/sports/wrestling/roster/nick-stemmet/20586
Abraham,Wojcikiewicz,Freshman,Undeclared,/sports/wrestling/roster/abraham-wojcikiewicz/20764
Lain,Yapoujian,Freshman,Undeclared,/sports/wrestling/roster/lain-yapoujian/20765
