First Name,Last Name,Class,Major,URL
Abi,Archer,Graduate Student,Bioengineering,/sports/cross-country/roster/abi-archer/20319
Amy,Bunnage,Freshman,undeclared,/sports/cross-country/roster/amy-bunnage/20353
Grace,Connolly,Fifth Year,Human Biology (B.S.); Change Leadership for Sustainability (M.S.),/sports/cross-country/roster/grace-connolly/20324
Audrey ,DaDamio,Junior,Biology,/sports/cross-country/roster/audrey-dadamio/20325
Ellie,Deligianni,Senior,Human Biology,/sports/cross-country/roster/ellie-deligianni/20326
Zofia,Dudek,Senior,Bioengineering,/sports/cross-country/roster/zofia-dudek/20328
Amelia,Everett,Freshman,undeclared,/sports/cross-country/roster/amelia-everett/20354
Julia,Flynn,Sophomore,undeclared,/sports/cross-country/roster/julia-flynn/20329
Imogen,Gardiner,Junior,Symbolic Systems,/sports/cross-country/roster/imogen-gardiner/20330
Nicola,Hogg,Sophomore,undeclared,/sports/cross-country/roster/nicola-hogg/20331
Taylor,James,Junior,Urban Studies,/sports/cross-country/roster/taylor-james/20332
Lucy,Jenks,Senior,"Science, Technology, and Society",/sports/cross-country/roster/lucy-jenks/20333
Sophia ,Kennedy,Freshman,undeclared,/sports/cross-country/roster/sophia-kennedy/20355
Ava,Parekh,Sophomore,undeclared,/sports/cross-country/roster/ava-parekh/20335
Irene,Riggs,Freshman,undeclared,/sports/cross-country/roster/irene-riggs/20356
Madison,Shults,Freshman,undeclared,/sports/cross-country/roster/madison-shults/20357
Tori,Starcher,Senior,"Science, Technology, and Society",/sports/cross-country/roster/tori-starcher/20340
Riley,Stewart,Sophomore,undeclared,/sports/cross-country/roster/riley-stewart/20341
Hillary,Studdert,Freshman,undeclared,/sports/cross-country/roster/hillary-studdert/20358
Audrey,Suarez,Junior,International Relations,/sports/cross-country/roster/audrey-suarez/20342
Caroline,Wells,Sophomore,undeclared,/sports/cross-country/roster/caroline-wells/20345
Juliette,Whittaker,Sophomore,undeclared,/sports/cross-country/roster/juliette-whittaker/20346
Roisin,Willis,Sophomore,undeclared,/sports/cross-country/roster/roisin-willis/20347
Hannah,Wilson,Senior,Human Biology,/sports/cross-country/roster/hannah-wilson/20348
