First Name,Last Name,Class,Major,Major (Abbreviated),URL
Grace,Austin,Senior,Management Science & Engineering,MS&E,/sports/sailing/roster/grace-austin/20721
Jack,Baldwin,Sophomore,Undeclared,Undeclared,/sports/sailing/roster/jack-baldwin/20722
Reade,Decker,Freshman,Undeclared,Undeclared,/sports/sailing/roster/reade-decker/20732
Gwendolyn,Donahue,Senior,Biology,BIO,/sports/sailing/roster/gwendolyn-donahue/20723
Sophie,Fisher,Sophomore,Undeclared,Undeclared,/sports/sailing/roster/sophie-fisher/20724
Hannah,Freeman,Senior,International Relations,INTNLREL,/sports/sailing/roster/hannah-freeman/20749
Ellie,Harned,Sophomore,Undeclared,Undeclared,/sports/sailing/roster/ellie-harned/20725
Michelle,Lahrkamp,Graduate Student,GR: Management Science and Engineering,MS&E,/sports/sailing/roster/michelle-lahrkamp/20726
Vanessa,Lahrkamp,Sophomore,Undeclared,Undeclared,/sports/sailing/roster/vanessa-lahrkamp/20727
Justin,Lim,Graduate Student,GR: Computer Science,CS,/sports/sailing/roster/justin-lim/20751
Isabelle,McNabb,Sophomore,Undeclared,Undeclared,/sports/sailing/roster/isabelle-mcnabb/20728
Chapman,Petersen,Sophomore,Undeclared,Undeclared,/sports/sailing/roster/chapman-petersen/20729
Alice,Schmid,Freshman,Undeclared,Undeclared,/sports/sailing/roster/alice-schmid/20733
Thomas,Sitzmann,Freshman,Undeclared,Undeclared,/sports/sailing/roster/thomas-sitzmann/20734
AnaClare,Sole,Graduate Student,"GR: Sustainable Sciences, UG: Engineering",,/sports/sailing/roster/anaclare-sole/20750
Lauren,Taylor,Senior,GR: Computer Science,CS,/sports/sailing/roster/lauren-taylor/20730
Shay,Wood,Freshman,Undeclared,Undeclared,/sports/sailing/roster/shay-wood/20735
Luke,Woodworth,Freshman,Undeclared,Undeclared,/sports/sailing/roster/luke-woodworth/20736
Alexis,Young,Freshman,Undeclared,Undeclared,/sports/sailing/roster/alexis-young/20731
