First Name,Last Name,Class,Major,Major (Abbreviated),URL
Miko,Begossi,Sophomore,Undeclared,Undeclared,/sports/artswim/roster/miko-begossi/20737
Elisa,Brunel,Freshman,Undeclared,Undeclared,/sports/artswim/roster/elisa-brunel/20926
Yujin,Chang,Sophomore,Undeclared,Undeclared,/sports/artswim/roster/yujin-chang/20738
Ivy,Davis,Sophomore,Undeclared,Undeclared,/sports/artswim/roster/ivy-davis/20739
Emily,Ding,Sophomore,Undeclared,Undeclared,/sports/artswim/roster/emily-ding/20740
Yara,Elian,Sophomore,Undeclared,Undeclared,/sports/artswim/roster/yara-elian/20741
Nicole,Goot,Junior,Political Science,POLISCI,/sports/artswim/roster/nicole-goot/20742
Natalie,Greenfield,Senior,Computer Science,CS,/sports/artswim/roster/natalie-greenfield/20743
Cambell,McMillan,Freshman,Undeclared,Undeclared,/sports/artswim/roster/cambell-mcmillan/20747
Atira,O’Neil,Sophomore,Undeclared,Undeclared,/sports/artswim/roster/atira-o-neil/20744
Manu,Pindi,Freshman,Undeclared,Undeclared,/sports/artswim/roster/manu-pindi/20927
Ella,Rau,Freshman,Undeclared,Undeclared,/sports/artswim/roster/ella-rau/20748
Lindi,Schroeder,Junior,International Relations,INTNLREL,/sports/artswim/roster/lindi-schroeder/20745
Emmanuella,Tchakmakjian,Senior,Political Science,POLISCI,/sports/artswim/roster/emmanuella-tchakmakjian/20746
Emmanuella,Tchakmakjian (Double),Senior,Pyschology,PSYCH,/sports/artswim/roster/emmanuella-tchakmakjian/20746
