First Name,Last Name,Class,Major,Major (Abbreviated),URL
Arianna,Cao,Freshman,undeclared,Undeclared,/sports/fencing/roster/arianna-cao/20614
Casey,Chan,Graduate Student,Chemistry (M.S.),CHEM,/sports/fencing/roster/casey-chan/20874
Jeanette,Han,Junior,Computer Science,CS,/sports/fencing/roster/jeanette-han/20588
Charlotte,He,Junior,Biology,BIO,/sports/fencing/roster/charlotte-he/20589
Haley,Koo,Senior,Product Design,DESIGN,/sports/fencing/roster/haley-koo/20592
Zhiyin,Lin,Junior,Computer Science,CS,/sports/fencing/roster/zhiyin-lin/20593
Lauren,McLane,Freshman,undeclared,Undeclared,/sports/fencing/roster/lauren-mclane/20612
Meghana,Paturu,Sophomore,undeclared,Undeclared,/sports/fencing/roster/meghana-paturu/20597
Crystal,Qian,Sophomore,undeclared,Undeclared,/sports/fencing/roster/crystal-qian/20598
Sofia,Raso,Junior,International Relations,INTNLREL,/sports/fencing/roster/sofia-raso/20599
Ellen,Wang,Freshman,undeclared,Undeclared,/sports/fencing/roster/ellen-wang/20613
Joelle,Warden,Sophomore,undeclared,Undeclared,/sports/fencing/roster/joelle-warden/20601
Shining,Xi,Sophomore,undeclared,Undeclared,/sports/fencing/roster/shining-xi/20602
Irene,Yeu,Senior,Aeronautics and Astronautics,AA,/sports/fencing/roster/irene-yeu/20603
Erika,Yong,Sophomore,undeclared,Undeclared,/sports/fencing/roster/erika-yong/20604
Joy,Yun,Senior,Computer Science,CS,/sports/fencing/roster/joy-yun/20605
