#,Full Name,Pos.,Ht.,Academic Year,Hometown / High School,Major,Major (Abbreviated)
3,Claire Nockolds,Defense/Midfield,5-4,Fr.,"Houston, Texas / The Kincaid School",,
4,Esther Pottebaum,Midfield,5-8,Fr.,"St. Albans, Mo.  / John Burroughs School",,
5,Mia Clark,Defense,5-3,Fr.,"San Diego, Calif. / Canyon Hills",,
6,Scout Butler,Defense,5-6,So.,"London, England / Repton School",Undeclared,Undeclared
7,Gemma Townsend,Forward,5-5,Fr.,"Esher, England / Reed's School",,
8,Star Horlock,Midfield/Forward,5-7,Fr.,"Salisbury, England / Marlborough College",,
9,Puja Nanjappa,Defense,5-0,Fr.,"Clarksville, Md. / River Hill",,
10,Anna Ghuliani,Defense,5-3,So.,"Melbourne, Australia / Haileybury Girls College",Undeclared,Undeclared
11,Chantal Eiwanger,Midfield/Forward,5-7,So.,"North Vancouver, British Columbia / Sentinel Secondary School",Undeclared,Undeclared
12,Haley Mossmer,Attacker,5-7,Sr.,"La Jolla, Calif. / La Jolla",Product Design,
13,Bella Ganocy,Midfield/Forward,5-2,So.,"Calabasas, Calif. / Harvard-Westlake",Undeclared,Undeclared
15,Ella Ganocy,Midfield/Forward,5-2,So.,"Calabasas, Calif. / Harvard-Westlake",Undeclared,Undeclared
16,Kate Nemec,Midfield,5-5,Fr.,"Darien, Conn. / Sacred Heart Greenwich",,
17,Maroussia Walckiers,Midfield/Forward,5-7,Jr.,"Kraainem, Belgium / Sint-Jan Berchmanscollege / Longwood",,
21,Caroline Guden,Midfielder,5-5,Sr.,"Waltham, Mass. / Milton Academy",Economics,ECON
22,Tottie Taylor,Midfield,5-6,So.,"Butleigh, England / Millfield, School",Undeclared,Undeclared
23,Liv Martin,Midfield,5-8,Fr.,"Cranleigh, England / Cranleigh Senior School",,
31,Daisy Ford,Goalkeeper,5-6,So.,"Harleston, England / Framlingham College",Undeclared,Undeclared
97,Kendall Dowd,Goalkeeper,5-6,So.,"Austin, Texas / St. Stephen's Episcopal School",Undeclared,Undeclared
