First Name,Last Name,Class,Major,Major (Abbreviated),URL
Abi,Archer,Graduate Student,Bioengineering,BIOE,/sports/track-and-field/roster/abi-archer/20364
Brandy,Atuatasi,Junior,Psychology,PSYCH,/sports/track-and-field/roster/brandy-atuatasi/20366
Amy,Bunnage,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/amy-bunnage/20420
Grace,Connolly,Fifth Year,Human Biology (B.S.); Change Leadership for Sustainability (M.S.),HUMBIO,/sports/track-and-field/roster/grace-connolly/20373
Audrey ,DaDamio,Junior,Biology,BIO,/sports/track-and-field/roster/audrey-dadamio/20374
Ellie,Deligianni,Senior,Human Biology,HUMBIO,/sports/track-and-field/roster/ellie-deligianni/20375
Zofia,Dudek,Senior,Bioengineering,BIOE,/sports/track-and-field/roster/zofia-dudek/20377
Amelia,Everett,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/amelia-everett/20421
Kaiah,Fisher,Junior,Biology,BIO,/sports/track-and-field/roster/kaiah-fisher/20378
Julia,Flynn,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/julia-flynn/20379
Imogen,Gardiner,Junior,Symbolic Systems,SYMSYS,/sports/track-and-field/roster/imogen-gardiner/20380
Sage,Hinton,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/sage-hinton/20422
Nicola,Hogg,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/nicola-hogg/20382
Taylor,James,Junior,Urban Studies,URBANST,/sports/track-and-field/roster/taylor-james/20384
Lucy,Jenks,Senior,"Science, Technology, and Society",STS,/sports/track-and-field/roster/lucy-jenks/20385
Alyssa,Jones,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/alyssa-jones/20386
Sophia ,Kennedy,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/sophia-kennedy/20423
Kelly ,Kern,Senior,"Science, Technology, and Society",STS,/sports/track-and-field/roster/kelly-kern/20387
Lianne,Kistler,Junior,Human Biology,HUMBIO,/sports/track-and-field/roster/lianne-kistler/20388
Catherine,Littlewood,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/catherine-littlewood/20424
Elise,Miller,Junior,Environmental Systems Engineering,,/sports/track-and-field/roster/elise-miller/20392
Abbey,Moody,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/abbey-moody/20425
Rachel,Nelson,Freshman,,,/sports/track-and-field/roster/rachel-nelson/20844
Alaysia,Oakes,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/alaysia-oakes/20393
Megan,Olomu,Senior,Public Policy,PUBLPOL,/sports/track-and-field/roster/megan-olomu/20832
Ava,Parekh,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/ava-parekh/20395
Camille,Peisner,Junior,Communication,COMM,/sports/track-and-field/roster/camille-peisner/20396
Cate,Peters,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/cate-peters/20426
Trinity,Price,Junior,Human Biology,HUMBIO,/sports/track-and-field/roster/trinity-price/20397
Irene,Riggs,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/irene-riggs/20427
Madison,Romain,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/madison-romain/20399
Sky,Schuller,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/sky-schuller/20428
Madison,Shults,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/madison-shults/20429
Emma,Sralla,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/emma-sralla/20430
Tess,Stapleton,Junior,American Studies,AMSTUD,/sports/track-and-field/roster/tess-stapleton/20403
Tori,Starcher,Senior,"Science, Technology, and Society",STS,/sports/track-and-field/roster/tori-starcher/20404
Riley,Stewart,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/riley-stewart/20406
Hillary,Studdert,Freshman,undeclared,Undeclared,/sports/track-and-field/roster/hillary-studdert/20431
Audrey,Suarez,Junior,International Relations,INTNLREL,/sports/track-and-field/roster/audrey-suarez/21176
Samantha ,Thomas,Senior,Biomedical Computation,BIOMEDIN,/sports/track-and-field/roster/samantha-thomas/20408
Maya,Valmon,Junior,Human Biology,HUMBIO,/sports/track-and-field/roster/maya-valmon/20411
Caroline,Wells,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/caroline-wells/20412
Juliette,Whittaker,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/juliette-whittaker/20413
Roisin,Willis,Sophomore,undeclared,Undeclared,/sports/track-and-field/roster/roisin-willis/20414
Hannah,Wilson,Senior,Human Biology,HUMBIO,/sports/track-and-field/roster/hannah-wilson/20415
Cydney,Wright,Junior,Biology,BIO,/sports/track-and-field/roster/cydney-wright/20416
Teagan,Zwaanstra,Junior,Mechanical Engineering,ME,/sports/track-and-field/roster/teagan-zwaanstra/20418
