Full Name,Pos.,Ht.,Hometown / High School,Major,Major (Abbreviated),Academic Year,Club
Ira Alexeeva,"Bars, Beam",5-3,"Plano, Texas / Spring Creek Academy",International Relations,INTNLREL,Sr.,
Ashley Carter,"Bars, Beam, Floor",5-1,"Rancho Cucamonga, Calif. / Laurel Springs",Undeclared,Undeclared,So.,
Victoria Cluck,"Vault, Floor",5-2,"Frisco, Texas / Wakeland",Undeclared,Undeclared,Fr.,
Claire Dean,AA,5-2,"Piedmont, Calif. / Piedmont",Undeclared,Undeclared,So.,
Anapaula Gutierrez,AA,5-1,"Highlands Ranch, Colo. / Rock Canyon",Design,DESIGN,Jr.,
Sandra Jessen,"Vault, Floor",5-1,"Allentown, Pa. / Parkland",Human Biology,HUMBIO,Sr.,
Temple Landry,AA,5-2,"Maple Grove, Minnesota / Maple Grove",Undeclared,Undeclared,Fr.,
Brenna Neault,AA,5-8,"Rancho Cucamonga, Calif. / Los Osos",Human Biology,HUMBIO,Jr.,
Taralyn Nguyen,"Vault, Beam, Floor",4-9,"Fair Oaks, Calif. / Bella Vista",Symbolic Systems,SYMSYS,So.,
Sydney Razeghi,AA,5-1,"Houston, Texas / Bridgeway Academy",Undeclared,Undeclared,Fr.,
Anna Roberts,AA,5-4,"Seattle, Wash. / Seattle Preparatory School",Undeclared,Undeclared,So.,
Sienna Robinson,AA,5-1,"Las Vegas, Nev. / Odyssey Charter School",Undeclared,Undeclared,Fr.,
Katya Sander,"Beam, Floor",5-3,"Goshen, Ky. / William Mason",Human Biology,HUMBIO,R-So.,
Ava Sorrento,AA,5-3,"Toronto, Ontario, Canada / Blyth Academy Lawrence Park",Undeclared,Undeclared,So.,
Porsche Trinidad,"Bars, Beam, Floor",5-7,"Emerald Hills, Calif. / Saint Francis",Management Science and Engineering,MS&E,So.,
Chloe Widner,AA,5-1,"Frisco, Texas / Laurel Springs School",Product Design,DESIGN,5th,
Amanda Zeng,"Vault, Floor",5-2,"Sammamish, Wash. / Skyline",IDMEN,Other,Sr.,
