First Name,Last Name,Class,Major,URL
Lucy,Bell,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/lucy-bell/20093
Jamie,Brennan,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/jamie-brennan/20836
Caroline,Bricker,Freshman,Undeclared,/sports/womens-swimming-and-diving/roster/caroline-bricker/20835
Lauren,Burch,Junior,Undeclared ,/sports/womens-swimming-and-diving/roster/lauren-burch/20094
Sophie,Duncan,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/sophie-duncan/20096
Charlotte,Hook,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/charlotte-hook/20097
Torri,Huske,Junior,Undeclared,/sports/womens-swimming-and-diving/roster/torri-huske/20098
Gigi,Johnson,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/gigi-johnson/20099
Meghan,Lynch,Junior,Economics,/sports/womens-swimming-and-diving/roster/meghan-lynch/20100
Natalie,Mannion,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/natalie-mannion/20101
Kirsti,McEnroe,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/kirsti-mcenroe/20102
,,,,/sports/womens-swimming-and-diving/roster/emilie-moore/20103
Lillie,Nordmann,Junior,Management Science & Engineering,/sports/womens-swimming-and-diving/roster/lillie-nordmann/20104
Maria,Papworth,Junior,Undeclared,/sports/womens-swimming-and-diving/roster/maria-papworth/20106
Samantha ,Pearson,Junior,Human Biology,/sports/womens-swimming-and-diving/roster/samantha-pearson/20107
Aurora,Roghair,Junior,Human Biology,/sports/womens-swimming-and-diving/roster/aurora-roghair/20108
Janelle ,Rudolph,Senior,Computer Science,/sports/womens-swimming-and-diving/roster/janelle-rudolph/20110
Anna,Shaw,Junior,Human Biology,/sports/womens-swimming-and-diving/roster/anna-shaw/20111
Sam,Tadder,Junior,Human Biology Pre-Med,/sports/womens-swimming-and-diving/roster/sam-tadder/20112
Amy,Tang,Junior,Computer Science,/sports/womens-swimming-and-diving/roster/amy-tang/20113
Lucy,Thomas,Freshman,Undeclared,/sports/womens-swimming-and-diving/roster/lucy-thomas/20833
Kayla,Wilson,Sophomore,Undeclared,/sports/womens-swimming-and-diving/roster/kayla-wilson/20114
